Order ID,Invoice,Ref,,Status,Tax date,Delivery due,Drop-ship,Contact,Amount,Paid,Actions
PO#364128,,Bukiwe1 July2015/6,No stock items received,PO Emailed To Supplier,12 Jun 2015,22 Jun 2015,No,Nixon ,"R2,548.48",R0.00,
,,,,,,,,,,,
PO#364127,,Bukiwe1 July2015/5,No stock items received,Cancel PO,12 Jun 2015,22 Jun 2015,No,Paul Of London ,"R14,706.00",R0.00,
,,,,,,,,,,,
PO#364126,,Bukiwe1 July2015/4,No stock items received,PO Emailed To Supplier,12 Jun 2015,22 Jun 2015,No,Pringle of Scotland The Scottish Knitwear-pringle,"R2,366.64",R0.00,
,,,,,,,,,,,
PO#364125,,Bukiwe1 July2015/3,No stock items received,PO Emailed To Supplier,12 Jun 2015,22 Jun 2015,No,Stance ,"R18,345.25",R0.00,
,,,,,,,,,,,
PO#364124,,Bukiwe1 July2015/2,No stock items received,PO Emailed To Supplier,12 Jun 2015,06 Jul 2015,No,Superga ,"R10,807.20",R0.00,
,,,,,,,,,,,
PO#364123,,Bukiwe1 July2015/1,No stock items received,Sent to Dynaman,12 Jun 2015,22 Jun 2015,No,Xcalibur ,"R2,544.48",R0.00,
,,,,,,,,,,,
PO#364122,,100212306 (Samples),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R5,860.02",R0.00,
,,,,,,,,,,,
PO#364110,,100220619 (Samples),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R2,282.70",R0.00,
,,,,,,,,,,,
PO#364109,,100239497 (Samples),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R3,529.68",R0.00,
,,,,,,,,,,,
PO#364108,,100215804 (Samples),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R4,769.83",R0.00,
,,,,,,,,,,,
PO#364081,,Catherine June2015/1,Stock items partially received,Dynaman - Goods received,12 Jun 2015,01 Jun 2015,No,edit-Shanny Clothing ,"R3,742.50",R0.00,
,,,,,,,,,,,
PO#364070,,inset t-shirt,Stock items partially received,Dynaman - Goods Part Received,12 Jun 2015,17 Jun 2015,No,STYLE REPUBLIC-Pink Velvet ,"R6,737.40",R0.00,
,,,,,,,,,,,
PO#364069,,,-,Draft PO,12 Jun 2015,14 Jun 2015,No,STYLE REPUBLIC-Pink Velvet ,R0.00,R0.00,
,,,,,,,,,,,
PO#364028,,100241459 (Samples),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R3,502.21",R0.00,
,,,,,,,,,,,
PO#364027,,100218570 (Samples),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R18,797.31",R0.00,
,,,,,,,,,,,
PO#364026,,100239780 (Samples),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R9,528.95",R0.00,
,,,,,,,,,,,
PO#364025,,100218530 (Samples),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R2,587.13",R0.00,
,,,,,,,,,,,
PO#364024,,Zendesk Ipanema,Stock items partially received,Dynaman - Goods received,12 Jun 2015,18 Jun 2015,No,Ipanema ,"R3,736.87",R0.00,
,,,,,,,,,,,
PO#364023,,100218576 (Samples),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R3,703.81",R0.00,
,,,,,,,,,,,
PO#363905,,100248248 (Samples),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R9,971.38",R0.00,
,,,,,,,,,,,
PO#363904,,100245869 (Samples),No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R3,157.57",R0.00,
,,,,,,,,,,,
PO#363903,,,No stock items received,Dynaman - PO Created,12 Jun 2015,18 Jun 2015,No,Spree QC QC Team,"R8,174.24",R0.00,
,,,,,,,,,,,
PO#363692,,,No stock items received,Dynaman - PO Created,11 Jun 2015,22 Jun 2015,No,C INCH-Pink Velvet ,"R14,569.20",R0.00,
,,,,,,,,,,,
PO#363681,,size missing of PO#339567,All stock items received,Dynaman - Goods received,11 Jun 2015,11 Jun 2015,No,Pierre Cardin Intershu Distributors,R250.69,R0.00,
,,,,,,,,,,,
PO#363476,,Catherine June2015/1,No stock items received,PO Emailed To Supplier,11 Jun 2015,12 Jun 2015,No,edit-Shanny Clothing ,"R13,190.48",R0.00,
,,,,,,,,,,,
PO#362944,,,Stock items partially received,Dynaman - Goods Part Received,10 Jun 2015,13 Jun 2015,No,POLO ,"R1,123.47",R0.00,
,,,,,,,,,,,
PO#362854,,Mia dispcrepancy 10/06/2015,No stock items received,Draft PO,10 Jun 2015,16 Jun 2015,No,Spree QC QC Team,"R12,672.29",R0.00,
,,,,,,,,,,,
PO#362754,,100214931 - Karishma Rajcomar,No stock items received,Dynaman - PO Created,10 Jun 2015,10 Jun 2015,No,Pauls Boutique Paul's Boutique & Marc B,"R1,254.00",R0.00,
,,,,,,,,,,,
PO#362712,,Selfi oversupply 10/6/2015,All stock items received,Dynaman - Goods received,10 Jun 2015,10 Jun 2015,No,Selfi Selfi Couture,R500.00,R0.00,
,,,,,,,,,,,
PO#362681,,Bukiwe july2015,No stock items received,Dynaman - PO Created,10 Jun 2015,15 Jun 2015,No,POLO ,"R21,785.41",R0.00,
,,,,,,,,,,,
PO#362631,,boxy jacket,Stock items partially received,Dynaman - Goods received,10 Jun 2015,12 Jun 2015,No,STYLE REPUBLIC-Kate Jordan ,"R14,364.00",R0.00,
,,,,,,,,,,,
PO#362630,,colourblock sweater,Stock items partially received,Dynaman - Goods received,10 Jun 2015,12 Jun 2015,No,STYLE REPUBLIC-Kate Jordan ,"R13,167.00",R0.00,
,,,,,,,,,,,
PO#362211,,,-,Draft PO,09 Jun 2015,10 Jun 2015,No,London Hub ,R0.00,R0.00,
,,,,,,,,,,,
PO#361678,,,-,Draft PO,08 Jun 2015,14 Jun 2015,No,C INCH-Chapatti ,R0.00,R0.00,
,,,,,,,,,,,
PO#361505,,JEANS,No stock items received,Dynaman - PO Created,08 Jun 2015,10 Jun 2015,No,STYLE REPUBLIC-GNP WEAR ,"R4,035.60",R0.00,
,,,,,,,,,,,
PO#361236,,#janet,Stock items partially received,Dynaman - Goods Part Received,08 Jun 2015,10 Jun 2015,No,EDIT-CHAPATTI ,"R15,903.00",R0.00,
,,,,,,,,,,,
PO#361211,,cross over dress/bum gauge,Stock items partially received,Dynaman - Goods Part Received,08 Jun 2015,11 Jun 2015,No,STYLE REPUBLIC-Kate Jordan ,"R15,732.00",R0.00,
,,,,,,,,,,,
PO#361210,,sweater dress,Stock items partially received,Dynaman - Goods received,08 Jun 2015,11 Jun 2015,No,STYLE REPUBLIC-Kate Jordan ,"R20,930.40",R0.00,
,,,,,,,,,,,
PO#361209,,Selfi 08/06/2015,All stock items received,Dynaman - Goods received,08 Jun 2015,08 Jun 2015,No,Selfi Selfi Couture,R500.00,R0.00,
,,,,,,,,,,,
PO#360101,,Reebok June,No stock items received,PO Emailed To Supplier,05 Jun 2015,15 Jun 2015,No,Reebok ,"R53,922.00",R0.00,
,,,,,,,,,,,
PO#360100,,,No stock items received,PO Emailed To Supplier,05 Jun 2015,15 Jun 2015,No,Pringle of Scotland The Scottish Knitwear-pringle,"R24,624.00",R0.00,
,,,,,,,,,,,
PO#359901,,,No stock items received,Dynaman - PO Created,05 Jun 2015,05 Jun 2015,No,edited-Posse ,R399.00,R0.00,
,,,,,,,,,,,
PO#359900,,Bukiwe1 June2015/10,No stock items received,Draft PO,05 Jun 2015,07 Jun 2015,No,Reebok ,"R2,074.80",R0.00,
,,,,,,,,,,,
PO#359899,,Bukiwe1 June2015/2,No stock items received,Draft PO,05 Jun 2015,12 Jun 2015,No,Head Honcho ,"R24,624.00",R0.00,
,,,,,,,,,,,
PO#359898,,Bukiwe1 June2015/1,No stock items received,Draft PO,05 Jun 2015,07 Jun 2015,No,Reebok ,"R53,922.00",R0.00,
,,,,,,,,,,,
PO#359897,,Mia dispcrepancy 05/06/2015,All stock items received,Dynaman - Goods received,05 Jun 2015,11 Jun 2015,No,Spree QC QC Team,"R22,158.58",R0.00,
,,,,,,,,,,,
PO#359842,,coats,All stock items received,Dynaman - Goods received,05 Jun 2015,11 Jun 2015,No,edit-Posse Clothing Edit-posse Clothing,"R3,466.74",R0.00,
,,,,,,,,,,,
